Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2011-03,4.448,4.74313,18503.6795,19536.0,2967.0,788.0,166612.0,112439.0,54173.0,5295.0
2011-06,4.504,5.02333,18217.0,18855.0,2987.0,1040.0,165223.0,110986.0,54237.0,3748.0
2011-09,3.322,4.60382,17159.296,19105.0,2841.0,1386.0,168853.0,115533.0,53320.0,4377.0
2011-12,3.144,4.228,17847.418,22018.0,3268.0,2968.0,169884.0,115783.0,54101.0,7072.0
2012-03,2.712,3.319,21366.0,21193.0,2709.0,1475.0,173128.0,117551.0,55577.0,9045.0
2012-06,2.542,3.10148,19222.5,19499.0,2580.0,939.0,174489.0,119858.0,54631.0,8910.0
2012-09,2.752,3.18037,12630.0,21207.0,2699.0,1202.0,175264.0,119411.0,55853.0,7213.0
2012-12,3.138,3.19,12630.0,20532.0,-1267.0,-2174.0,171831.0,119753.0,52078.0,9933.0
2013-03,2.546,3.0708,20179.373,20445.0,2675.0,1173.0,175537.0,120108.0,55429.0,9532.0
2013-06,2.41,2.95636,18712.0,18821.0,2652.0,1310.0,169356.0,116634.0,52722.0,5574.0
2013-09,2.832,2.88667,18712.0,18548.0,2381.0,970.0,170743.0,117726.0,53017.0,8013.0
2013-12,3.174,3.2072,19250.0,19906.0,1467.0,1327.0,163865.0,111033.0,52832.0,7900.0
2014-03,4.108,3.90208,21821.5,18097.0,2433.0,1112.0,164761.0,112015.0,52746.0,8551.0
2014-06,4.254,4.24692,20781.0,16781.0,2456.0,1106.0,164625.0,111751.0,52874.0,7065.0
2014-09,4.202,4.37519,20781.0,19024.0,2171.0,397.0,169057.0,116214.0,52843.0,7805.0
2014-12,3.696,4.28556,22287.0,21512.0,-4140.0,-1854.0,166634.0,115489.0,51145.0,13255.0
2015-03,4.212,4.52964,22287.0,19952.0,2525.0,1179.0,169565.0,116067.0,53498.0,10388.0
2015-06,4.064,4.64539,18331.5,16355.0,2365.0,1450.0,164436.0,111056.0,53380.0,9438.0
2015-09,3.988,4.71292,15201.896,19489.0,1138.0,293.0,160363.0,109088.0,51275.0,8457.0
2015-12,3.892,4.57304,16095.7155,19479.0,1106.0,450.0,161179.0,109428.0,51751.0,10790.0
2016-03,3.898,4.49514,19655.0,17706.0,2584.0,1305.0,158053.0,105861.0,52192.0,6324.0
2016-06,3.98,4.53377,19179.539,15300.0,2574.0,1287.0,156852.0,104201.0,52651.0,5578.0
2016-09,3.968,4.70535,16619.574,17939.0,2147.0,1282.0,152846.0,99419.0,53427.0,6423.0
2016-12,4.188,4.66212,18915.873,19017.0,1119.0,-87.0,155596.0,103021.0,52575.0,8326.0
2017-03,4.414,4.70269,24817.6975,19215.0,2124.0,1304.0,154215.0,100315.0,53900.0,5647.0
2017-06,4.694,4.94042,19060.791,16940.0,2292.0,1189.0,153472.0,101704.0,51768.0,8613.0
2017-09,5.095,5.2544,16102.424,17709.0,2094.0,1170.0,154012.0,101399.0,52613.0,5208.0
2017-12,5.13,5.68222,17629.9365,20424.0,2353.0,1666.0,155641.0,103480.0,52161.0,7121.0
2018-03,4.97,5.70889,21320.1195,18946.0,2502.0,1528.0,157445.0,108613.0,48832.0,5114.0
2018-06,4.757,5.70704,19000.0,17081.0,2246.0,1195.0,163624.0,116781.0,46843.0,6464.0
2018-09,4.412,5.58231,17660.3575,19219.0,2488.0,1311.0,169973.0,121872.0,48101.0,9668.0
2018-12,5.044,5.61522,19678.6395,20329.0,2132.0,2316.0,165424.0,117572.0,47852.0,6714.0
2019-03,5.704,5.84348,22655.136,22755.0,3409.0,1650.0,173896.0,123781.0,50115.0,8562.0
2019-06,6.14,6.15,19480.0,18212.0,2827.0,1243.0,170508.0,121683.0,48825.0,5801.0
2019-09,6.851,6.768,18100.0,18365.0,5715.0,-1350.0,169960.0,122129.0,47831.0,6796.0
2019-12,7.072,7.348,22681.606,23203.0,3880.0,1933.0,171426.0,124488.0,46938.0,9080.0
2020-03,6.339,7.74,22681.606,19985.0,4144.0,1687.0,174201.0,128378.0,45823.0,7701.0
2020-06,7.678,7.812,20737.989,13390.0,2467.0,716.0,166995.0,123627.0,43368.0,5923.0
2020-09,7.418,8.39,17680.5,16090.0,2807.0,1276.0,163149.0,119735.0,43414.0,5638.0
2020-12,8.276,9.048,14805.87,14177.0,5521.0,-57.0,163453.0,121096.0,42357.0,6002.0
2021-03,8.493,9.3125,24815.5695,18490.0,2856.0,1495.0,167814.0,123106.0,44708.0,5234.0
2021-06,7.832,9.37174,18218.716,11846.0,1487.0,776.0,179733.0,135319.0,44414.0,4817.0
2021-09,6.651,9.062,18218.716,28961.0,2101.0,997.0,208066.0,163986.0,44080.0,6039.0
2021-12,7.046,8.836,15255.407,26190.0,1954.0,589.0,206940.0,164598.0,42342.0,8990.0
2022-03,6.068,8.50192,26607.155,26190.0,1954.0,589.0,206940.0,164598.0,42342.0,8990.0
