Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2015-06,6.64296299,8.3375,1096.6,1306.785,49.895,28.086,3917.307,3103.27,519.1,93.277
2015-09,7.20022886,8.442,1061.75,1206.4,113.7,77.2,3917.307,3103.27,584.0,143.3
2015-12,7.80172218,8.64142,1197.0,1163.3,16.7,12.5,3917.307,3103.27,600.0,108.845
2016-03,6.46605319,8.47807,1217.0,962.0,-11.2,-22.1,3917.307,3103.27,565.6,85.7
2016-06,6.41298025,8.52326,946.9,1278.38,42.97,45.061,3917.307,3103.27,585.1,65.434
2016-09,6.66949946,8.10837,1099.1,1241.0,118.9,85.7,3917.307,3103.27,662.7,179.2
2016-12,7.593853165,8.02527,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2017-03,8.23515119,8.49167,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2017-06,9.38506489,9.77767,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2017-09,9.730039,10.22861,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2017-12,10.1723135,10.51005,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2018-03,9.24353705,10.78265,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2018-06,9.40275587,10.87111,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2018-09,7.788453945,10.54579,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2018-12,6.51028064,10.94314,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2019-03,7.585007675,9.21701,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2019-06,8.151119035,9.25238,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2019-09,7.859217865,9.32859,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2019-12,8.25284217,9.43065,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2020-03,3.757564152,7.94734,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2020-06,4.137920222,5.77771,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2020-09,3.41435914,5.29624,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2020-12,4.83848303,4.73574,1248.0,1237.6,21.9,7.1,3917.307,3103.27,687.6,128.698
2021-03,6.23607045,4.77656,1248.0,420.195,-102.092,-130.612,4736.641,4455.285,281.356,450.025
2021-06,6.18,5.47108,1248.0,633.025,10.31,-14.229,5102.195,4273.883,828.312,929.491
2021-09,7.042,6.5157,1248.0,633.025,10.31,-14.229,5102.195,4273.883,828.312,929.491
2021-12,6.246,7.11539,1248.0,633.025,10.31,-14.229,4118.897,3144.742,974.155,929.491
2022-03,6.134,7.17692,1248.0,633.025,10.31,-14.229,4118.897,3144.742,974.155,929.491
